title,price,unit,description
,"
	0.99
	","
Per box",Solo 2-laags tissues in een moderne box.
,"
	0.97
	","
300-ml","Classic &amp; Style, Power &amp; Hold, Volume &amp; Glans."
,"
	1.59
	","
Per pak","Goed Getest volgens de Libelle, april 2018."
,"
	1.34
	","
Per box",Solo 4-laags tissues Spirit of nature in een moderne box
,"
	0.99
	","
250-ml",Krullen &amp; glans of volume &amp; glans.
,"
	1.29
	","
300-ml",Keuze uit classic of sensitive.
,"
	2.99
	","
100-ml","Keuze uit Optimist, Ocean Blue, Vibrant Green en Classic Silver."
,"
	3.99
	","
Per pak",Navulmesjes kunnen worden gebruikt met het Aldi scheersysteem.
,"
	5.79
	","
Per stuk",Delta 4 sensitive.
,"
	1.74
	","
250-ml",Hydraterend en geschikt voor de gevoelige huid. Dermatologisch getest. Keuze uit classic en sensitive.
,"
	2.05
	","
1.98-l",In handige meeneemflesjes. 6 stuks. Keuze uit:
,"
	1.53
	","
2-l",Vruchtgehalte: 20%. Handige drinkpakjes van 200 ml. 10-pack.
,"
	1.15
	","
1-l",1 l.
,"
	0.69
	","
1,5-l",Keuze uit:
,"
	0.65
	","
1-l",1 l. Keuze uit sinaasappel/perzik.
,"
	1.29
	","
1-l","Appelsap, tropical en multivitamine."
,"
	0.58
	","
Per stuk",140 stuks.
,"
	0.99
	","
Per pak","Geheel plasticvrij papieren staafje, FSC-gecertificeerd."
,"
	0.90
	","
Per pak",30 stuks. 
,"
	1.69
	","
3-pak","Geeft je lippen een zacht gevoel en beschermt tegen uitdroging. Keuze uit classic, macadamia/sheabutter en gevoelige lippen. "
,"
	1.19
	","
250-ml","Keuze uit reinigingsmelk, oogmake-up verwijderaar, verzachtende tonic en micellair water."
,"
	2.99
	","
50-ml","Dagcrème: met Q10, SPF-15, voor alle huidtypes. Verfijnt en maakt de huid glad voor een egale teint. Nachtcrème: met Q10, voor alle huidtypes. Regeneert en maakt de huid glad."
,"
	4.49
	","
50-ml","Voor de dagelijkse verzorging. Keuze uit  Anti Aging, Aqua Complete en Revital."
,"
	2.49
	","
50-ml","Dagcrème: met Q10, Vitamine E &amp; Calcium. Verbetert de veerkracht, versterkt en verstevigt Nachtcrème: met Q10, abessijnse olie &amp; panthenol. Verbetert de veerkracht, versterkt en verstevigt"
,"
	1.28
	","
515 g","Een frisse smaakvolle groentespread, ideaal voor op brood of cracker."
,"
	0.69
	","
450-g","Frisse zoet/zure Rinse appelstroop. Heerlijk op brood, bij kaas of worst. Maar ook te gebruiken in sauzen. "
,"
	2.19
	","
500-g",Bijenhoning in pot.     
,"
	0.99
	","
300-g",Een traktatie op de boterham. Te lekker om niet van te snoepen.
,"
	1.89
	","
600-g",Een traktatie op de boterham of als decoratie op desserts of gebak.
,"
	0.79
	","
400-g",Gemengde vruchtenhagel. Een feestje op je brood of als decoratie te gebruiken. 
,"
	1.30
	","
300-g",In de smaken naturel en aardbei.
,"
	0.99
	","
200-g",Heerlijk te serveren bij de borrel of soep. Om af te bakken. Volgranen of wit.
,"
	0.89
	","
450-g",Om af te bakken.  
,"
	1.27
	","
280-g",4 stuks.
,"
	1.69
	","
300 - 320-g",Saucijzen- of worstenbroodjes. Om af te bakken. 
,"
	1.29
	","
240-g",Keuze uit naturel en knoflook koriander.
,"
	0.69
	","
500-g",2 x 5 stuks. Om af te bakken.
,"
	0.99
	","
360-g",Om af te bakken. 4 x 90 g.
,"
	0.45
	","
300-g",Petit pains (4 stuks) of piccolo's (6 stuks). Om af te bakken.
,"
	0.99
	","
180-g",Bereid met echte roomboter. Om thuis af te bakken. 4 stuks.
,"
	1.55
	","
300-g","3 witte mini-bolletjes, 3 witte mini-bolletjes met sesam, 3 mini-meergranenbolletjes en 3 mini-roombotercroissantjes."
,"
	0.95
	","
240 g",Naturel. 12 handige portieverpakkingen.
,"
	0.49
	","
200-g",4 stuks.
,"
	1.26
	","
170/185 g","Keuze uit zeezout &amp; peper, knoflook en rozemarijn."
,"
	1.59
	","
1.2-l",Aardbei. In meeneempakjes. 6 x 200 ml.
,"
	0.85
	","
500-g",In de smaken perzik-passievrucht en aardbeien. 4 porties.
,"
	1.55
	","
6 x 200 ml",In handige meeneempakjes. 6 x 200 ml.
,"
	0.76
	","
1-l",Vernieuwd recept! Minder suiker.
,"
	0.76
	","
1-l",0% vet.
,"
	0.99
	","
1-l","Best Getest volgens het Algemeen Dagblad, januari 2018."
,"
	1.19
	","
0,2-l-Per stuk","Banaan, aardbei, vanille of chocolade."
,"
	0.88
	","
1-l","Met toegevoegde calcium, vitamine B2, B12 en D."
,"
	0.81
	","
200-ml",Bevat 35% vet. Lang houdbaar.
,"
	0.64
	","
250-ml",Ook lekker in pasta's of wokgroenten. Bevat 20% vet.
,"
	1.49
	","
1-l",Lactosevrij. Keuze uit original en unsweetened.
,"
	0.88
	","
1-l","Lactosevrij. Met toegevoegde calcium, vitamine B2, B12 en D."
,"
	1.78
	","
400-g",Keuze uit maïsbollen en Italiaanse bollen. Om af te bakken. 4 x 100 g.
,"
	0.75
	","
250-g",Gebakken in de steenoven. Meergranen of wit.
,"
	0.49
	","
300-g",Om af te bakken. 2 x 150 g.
,"
	0.49
	","
500-g-Per pak","Vezelrijk Fries roggebrood. Van gebroken rogge, vol tarwezemelen"
,"
	1.79
	","
230-g","Ambachtelijk beschuit met zonnebloempitten, lijnzaad en sesamzaad."
,"
	0.78
	","
250-g",Naturel. 10 x 4 stuks.
,"
	0.35
	","
125-g",Knapperig en bros naturel beschuit. Naar wens te beleggen.
,"
	1.54
	","
175-g",Ambachtelijke luxe crackers kaas-pompoenpitten &amp; kaas.
,"
	0.41
	","
125-g",Knapperig volkoren beschuit met handige inkeping.  13 stuks.
,"
	1.29
	","
265-g",Knackebröd per 4 per 4 stuks verpakt in de varianten zonnebloempitten &amp; sesam en pompoenpitten &amp; lijnzaad.
,"
	0.99
	","
330-375 g",Sesam of volkoren. Per 5 stuks verpakt.
,"
	1.69
	","
315 g",Keuze uit meerzaden en spelt. Per 3 stuks verpakt.
,"
	0.78
	","
250-g","Een lichte en luchtige aanvulling van ontbijt, de lunch of gewoon als tussendoortje. "
,"
	2.49
	","
550-g",Keuze uit melk of puur.
,"
	1.89
	","
600-g",Een traktatie op de boterham of als decoratie op desserts of gebak. 
